label,text
1,"Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time."
0,Seventy percent of all uninsured live in households in which at least one person is working.
1,[State Rep. Doug McKillips] donors deserve a refund.
0,Says Alex Jones said that the victims of the Sandy Hook massacre were child actors and no one was actually killed there.
1,"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store."
1,Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.
0,"Since 1900, six (U.S. Supreme Court) justices have been confirmed during election years, including Justice Anthony Kennedy, who was confirmed in the final year of the Reagan Administration."
1,"If 20 million illegals vote, you can kiss the Second Amendment goodbye."
1,The United States has seen a net loss of people with health insurance because of Obamacare.
1,We can save $125 billion in simply not giving out money to Medicare recipients that dont exist for procedures that didnt happen.
0,"If you already have health insurance through your job, or Medicare, or Medicaid, or the VA, nothing in this plan will require you or your employer to change the coverage or the doctor you have."
1,The Department of Homeland Security is the only federal department not funded for this entire fiscal year by Congress.
1,A National Football League lockout would cost Atlanta $160 million in lost jobs and revenue.
1,"Says CIA Director George Tenet told the Bush administration that the Sept. 11, 2001, terrorist attack was coming. So they did have advanced notice."
1,"Democrats' budget resolution would raise America's tax bill by ""$500-billion."""
0,There have been at least four incidents where bullets from Mexico have crossed the border.
1,Paul Workman wants to raise the sales tax.
0,"If anyone should know irresponsible it should be Senator Buono. Shes the one, her budget left us with a $2 billion budget deficit in fiscal 10 that I had to fix. Her mistakes. And for fiscal year 2011 an $11 billion budget deficit. Her mistakes, along with her partner Jon Corzine."
0,More than 30 cents of every state tax dollar goes to Medicaid.
1,Says Mitt Romney and Bain Capital are to blame in a womans premature death when they closed the plant where her husband worked.
0,"Says Russ Feingold said that with Obamacare, we could keep our doctors and our plans, it was rated as the Lie of the Year."
1,The Benghazi probe is the longest-running congressional investigation ever.
1,"Says he has a fiduciary responsibility to his business, his family and his employees to pay no more tax than legally required."
1,U.S. Rep. Debbie Wasserman Schultz has blamed the Republicans for the creation of Hamas.
1,Says Thomas Jefferson helped craft the Constitution.
0,Barack Obama thinks terrorists just need a good talking to.
0,"If youre earning under $100,000 a year and you commute to New York every day you pay more to the Port Authority in tolls than you pay to the state of New Jersey in income tax."
0,"If we keep the minimum wage at the current level, then single-parent families earning the minimum wage at a full-time job will live in poverty in New Jersey."
1,"Under President Barack Obama, the United States has doubled our exports."
0,"Says Mitt Romney had millions in the Cayman Islands, a tax haven."
0,Says the U.S. Constitution provides for just compensation when land is taken under eminent domain.
1,"Ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that."
0,Oregon has never before tried to create a land-use plan for what it should look like for 50 years.
1,Barack Obama has never even worked in business.
0,"Ken Buck wants to outlaw abortion, even in cases of rape or incest."
1,"I am the only U.S. Senate candidate who spoke out against bombing Syria, and who challenged Georgias governor and insurance commissioner over obstruction to the Affordable Care Act."
1,The Bush tax cuts created about 8 million jobs over the first 10 years that they were in existence. Weve lost about 5 million of those jobs during this recession.
1,Jason Carters plan: increase spending by $12.5 billion.
0,Most state employees did not receive any pay raise from 2009 to 2012.
0,Californias credit rating is the worst in the country.
0,"In Florida, its not illegal for an immediate family member of state officials to prosper from legislation supported by a spouse."
1,"Says judges are using Shariah law in Dearborn, Mich."
1,Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.
0,"The cost to implement Florida's class size amendment so far has been ""$16 billion."""
1,Glen Sturtevant is against smaller class sizes.
1,"Says that President Obama promised that with the stimulus plan, unemployment would never go above 8 percent. He even said it would be 6 percent by now."
1,Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed watered-down HIV/AIDSdrugs to patients in sub-Saharan Africa.
0,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide."
1,Says Ralph Hall is the oldest member in Congress ever.
1,On a government spending freeze.
1,"The Iran deal says that if any other country tries to undermine (Irans) nuclear program, we have to help them defend themselves against Israel, Egypt, Saudis, our own allies."
0,"North Korea has a substantial standing army, one of the largest, certainly the largest per capita, in the world."
0,Its been nearly three weeks since the president has commented on questions about possible hidden wait lists at veterans hospitals.
1,Let me say that I dont think (Bernie Sanders has) had a single negative ad ever run against him.
1,"Mr. Trump is self-financing his campaign, so we dont have any donors."
1,When youre white ... you dont know what its like to be poor.
0,Gov. Rick Scotts sale of the state planes was not proper.
1,"If we had been on Obamacare and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment."
0,"You cant give a child an aspirin in school without permission. You cant do any kind of medication, but we can secretly take the child off and have an abortion."
0,"Says under Wisconsin law, he cannot remove his name from the ballot for re-election to Congress."
1,"The Obama administration ""was successful in rushing a massive spending bill through Congress in just two days after which it sat on the president's desk for three days, while he was away on vacation."""
0,Says the word Dhimmitude is on page 107 of the health care law and means Muslims are specifically exempted from the government mandate to purchase insurance.
1,"Statistically, law-enforcement officers die 10 years earlier than the general population."
0,Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgias advantage in landing the companys USA corporate headquarters.
1,"It was (Rob Portmans) job to stop Chinas illegal dumping of steel. He failed, looked the other way, did nothing."
1,Gov. Scott Walkers plan to freeze pay for state employees includes a 5.4 percent raise for himself.
0,"The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s."
0,"In the first round of repayments from financial institutions that received TARP money, the government has actually turned a profit."
1,Non-defense discretionary spending has increased by over 80 percent in the last two years.
0,"Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year."
1,"Last year, I was involved with an effort to to help prosecutors get their first pay raise in more than 10 years."
1,Operating a health care exchange would be illegal in Georgia and some states because of legislation passed in those states.
1,Personal income is growing faster in Tennessee on average than any other state in the country.
1,The prosecutor who brought the indictment of Texas Gov. Rick Perryhas ties to Obama. He has ties to the Democrats.
0,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home."
1,"Once the U.S. government signs a U.N. treaty on conventional arms, ""all U.S. citizens will be subject to those gun laws created by foreign governments."""
