label,text
0,Ivanka Trump meets with Paul Ryan in New York
0,‘You can sleep tonight knowing the Klan is awake’: Ominous flyers appear across the US
0,Stein escorted off Hofstra University campus
0,JUST IN: ISIS Hits U.S. Troops With CHEMICAL Weapons…
0,Hillary Clinton prepares for unpredictable Donald Trump at debate
0,Schumer transfers millions to Dems in bid for Senate takeover
0,"Black Gunmen Wound 8 People Including 3 Year old Girl on Saturday, No Protests, Riots, Or Looting…."
0,JUST IN: Barbara Streisand Pens Scathing Op-Ed Blasting “Coward” Trump
0,Trump: Stop-and-frisk would 'overwhelmingly' save black and Hispanic lives
0,Cruz: I'm voting for Trump
0,Trump suggests Tulsa officer was 'choking' in fatal shooting
0,Rumsfeld on George H.W. Bush voting for Clinton: ‘He’s up in years’
0,Clinton: Tulsa shooting by police should be 'intolerable’
0,BREAKING: North Carolina Drops Anti-LGBT ‘Bathroom Bill’ Lawsuit Against US
0,Trains Built Roanoke. Science Saved It.
0,Young Woman Gets Death Threats After Publishing This Photo Online (Photo)
0,Clinton and Trump: Who's on the debate guest list
0,Hateful Arizona Pastor Deported From Botswana After Saying Gays Should Be âStoned to Deathâ (VIDEO)
0,"Trump Was RIGHT AGAIN, Bombing Suspect Details JUST Released!"
0,Worst. President. Ever.
0,Trump Just Said He Got A “Small Loan” From His Dad. He Got WAY More
0,Foreign Diplomats Scared Sh*tless Over The Idea Of A President Trump
0,What Politicians Don’t Get About the Islamic State
0,Post-debate poll: Hillary Clinton takes round one
0,The Debate: What We Just Saw
0,Donald Trump Attacked Clintonâs âStaminaâ And Her Response Was Absolutely Brilliant (VIDEO)
0,"Michael Jordan Makes Statement That Is Pro-Black, And Pro-Police…Labeled ‘Uncle Tom’?!? [VIDEO]"
0,Arizona’s Top Newspaper Just Endorsed A Democrat For First Time In 126-Year History
0,Trump Said Not Paying Taxes Makes Him “Smart.” Mark Cuban’s Response Is Powerful
0,"Senator asks DHS for information about NY, Minnesota suspects"
0,Jane Pauley to succeed Charles Osgood on 'CBS Sunday Morning'
0,"Obama wears hat, breaking ‘Politics 101’ rule on headgear"
0,Everything You Need to Know About the Presidential Debates
0,"âEmpireâ Takes On Racist Police Violence, Guns In America In Breathtaking New Song (VIDEO)"
0,"Trump Insists Stop And Frisk Wasnât Ruled Unconstitutional â Heâs Wrong, It Was (VIDEO)"
0,Good Morning AmericaVerified account
0,This Is The Exact Moment When Hillary Realized That She Lost The Debate
0,"Ivanka Trump, Paul Ryan meet"
0,Clinton's campaign manager tangles with 'Morning Joe' hosts
0,Analyzing the LA Times Daily Tracking Poll
0,Trump Supporter Electrifies His Yard Sign to ZAP Pesky Vandals
0,Obama nominates ambassador to Cuba in long-shot move
0,Trump Surrogates Push Narrative That Clinton Started 'Birtherism'
0,NC State Troopers Take A Knee Before Protecting Charlotte – But It Wasn’t To Protest The National Anthem…
0,"Take It from a Rockefeller (Republican), We Can Revive the GOP"
0,Can Bernie Sanders Help Deliver the Youth Vote for Hillary Clinton?
0,VETS Warn Pet Owners: Giving Bones To Your Dogs Could Kill Them
0,BREAKING: ISIS Attacks US Troops In Iraq With Chemical Weapons
0,Clinton economy speech to focus on valuing people with disabilities
1,BREAKING: Cavuto Just Exposed Lester Holt’s Lies During Debate
0,Congressional Black Caucus Member Depicts List Of Things African Americans Can Be Killed For
0,Trump not convinced of Russian hacking
0,Don King drops N-word while introducing Donald Trump
0,Trump [again] says he opposed the Iraq War. That's still false.
0,San Francisco 49ers Get Bad News After They Decide Not To Cut Colin Kaepernick
0,Trump Gives PATHETIC Reason For Why He Sucked At Debate (TWEET)
0,How Trump Is Hiding From The Media Like A Total Coward
0,Clinton Camp Slams Trump Over Allegations His Charity Paid His Business Settlements
0,Trump campaign manager accuses Clinton of politicizing police killings
0,BREAKING: Pipe Bombs Found in New Jersey Train Station
0,US blames Russia for Syria convoy attack; Moscow points to terrorists
0,NRA returns to Trump's defense with $5 million ad buy
1,NYC Terrorist Ahmad Rahami Sued Police Department for ‘Religious Persecution’ in 2011!
0,Trump hints Obama to blame for Charlotte unrest
0,"Sanders, Clinton plot new push amid slipping support with millennials"
0,5 things to watch at Monday night's Clinton-Trump debate
0,You Won’t Believe What Bill Clinton’s CIA Director Said About Trump [VIDEO]
0,House panel to vote on contempt charges for StemExpress
0,Egypt's president: 'Of course' Trump would make a strong leader
0,Senate rejects bid to block US-Saudi Arabia arms deal
0,The hardest-hitting political news.
0,US forces nearly ready to help Iraq push to retake Mosul
0,This powerful video of a veteran confronting a Charlotte riot cop is going viral
0,"Trump: Black communities in worst shape 'ever, ever, ever'"
0,Reality Check: Trump wrong on profiling
1,Hillary’s TOP Donor Country Just Auctioned Off ISIS Sex Slaves…
0,Here’s the Video of Charlotte Police Shooting Keith Lamont Scott
0,UN to resume Syria aid deliveries
0,Trump: 'There’s nothing like doing things with other people’s money'
0,Auto Dealership Promotes Cop Killing Blacks Narrative
0,Protests Erupt In Charlotte After Cops Kill Disabled Black Man Who Was Reading A Book In His Car
0,"Democrat Mayor Rapes 4-Year-Old, Blames HER as “Willing Participant”"
0,National security moves to the top of 2016 campaign
0,"Pence: 'Too much talk' of institutional, racial bias in law enforcement"
0,The GOP's next civil war is brewing
0,Rouhani: Iran deal able to weather the election
0,Clinton gets under Trump’s skin
0,The GOP's next civil war is brewing
0,NRA returns to Trump's defense with $5 million ad buy
0,BREAKING: Iconic Holllywood Couple Just Called It Quits After 12 Years
0,"Donald Trump Calls for Nationwide Stop-and-Frisk Policy, Then Rolls It Back"
0,Appeals court hears high-stakes challenge to Obama's clean power plan
0,Bill Maher: Donald Trump is RIGHT on Profiling [VIDEO]
0,Hill backers: Donald Trump knows debate stakes
0,Road to 270: CNN's latest electoral college map
0,Former official testifies: Christie told about bridge traffic problems as they happened
0,Trump Still Paying Fmr. Campaign Manager Lewandowski as Consultant
0,"Clinton, hoping to reach millennials, submits to mockery on 'Between Two Ferns'"
0,"Al Sharpton’s daughter sues NYC for 5 mil over ankle injury, but look what she’s done on her ankle"
0,"Trump Retweets Article That Destroyed Him, And He Was Too Dumb To Know It"
0,Insiders clash over politics of terrorism
0,Clinton press poolers clash with Egyptian leader's security
0,"Pew poll: Most voters 'frustrated,' 'disgusted' with 2016 election"
0,"Psychopath Muslim Stabs Teen Girl 100+ Times, BREAKS KNIFE IN HER NECK"
0,Kim Kardashian still voting for Clinton
0,I worked at Wells Fargo and blew the whistle on rampant fraud — then they fired me.
0,"Briefly Sweden plans to give tax breaks for fixing stuff instead of throwing it away. We’ve got some weekend reading to help you face the post-election world. The Marrakech climate talks still aren’t over, but here’s what’s gone down so far. Obama halts new oil drilling in the Arctic — for now. Oh god, they’ve discovered even more oil in Texas. Watch people on the frontlines of the Dakota Access fight defend their water and their rights. Um, where did all of the Arctic and Antarctic sea ice just go?"
0,Bloomberg TV to fact check debate on-screen
0,Trump Jr. compares Syrian refugees to tainted Skittles
0,Bernie’s Gambit in Ohio
0,Next president could face a 50-50 Senate
0,Congressman: Black history museum is 'an American story'
0,Defensive Sanders says he won primary debates 'online'
0,Obama vetoes 9/11 bill
0,Charlotte protester in critical condition after being shot in the head
0,Donald Trump Jr. defends Skittles tweet: 'I’m not comparing someone to candy'
0,INSIDE THE GOVT SHUTDOWN FIGHT -- New CLINTON video: ‘Mirrors’ -- The Playbook Interview: Steve Hilton -- B’DAY: Mike Schmidt
0,Clinton Foundation to lay off dozens of staff
0,Man dies of thirst in jail run by pro-Trump sheriff after being denied water for 6 days
0,Seahawks’ Richard Sherman DROPS THE MIC On Those Who Ignore Police Brutality (VIDEO)
0,'West Wing' cast members to stump for Clinton
0,Anti-Trump Super PAC Launches Pre-Debate Video Featuring Hofstra Students
0,Louisiana Cop Claims Murdering A 6-Year Old Child Was Self-Defense
0,Clinton supporters offer advice ahead of first debate
0,Government funding talks stall ahead of next week's shutdown deadline
0,"Clinton ignores Trump, delivers speech on helping disabled"
0,Obama says Syria war 'haunts' him
0,Trump complains about debate mic
0,NC MOB ATTACKS Female Trucker On Hwy…Loots Truck And Sets Cargo On Fire…No One Helps Her! [Video]
0,Early Voting In North Carolina Shows GREAT NEWS For Democrats
0,Trump's bizarre ad strategy
0,Median Income Among Black Households Has FALLEN Since Obama Took Office
0,Trump-Supporting GOP Rep Calls Veterans ‘Moochers’ During Town Hall Event In Ohio
0,Kaine doesn't feel bad for Pence
0,It’s “Trump is HITLER” Month at the Washington Post
0,Obama at Netanyahu meeting: 'He is always very candid with us'
0,The hardest-hitting political news.
0,State spokesman on Clinton questions: 'I don't view it as a distraction'
0,Obama on Trump: 'Even most 8-year-olds' know slavery was a bad time for black people
0,Trump knocks Clinton for posting Islamic State plan on website
0,Former RNC Chairman: Reagan couldn't win today
0,VIDEO: Jimmy Fallon Sparks MOTHER LOAD Of “Hurt Feelings” From Liberals After Roasting Hillary Clinton…
0,PHOTO: Black Lives Matter Thugs OUTRAGED At 4-Word Message Trucker Put On The Back Of His Truck
